47,23,9,10,11
56,21,10,11,12
60,21,11,12,13
68,19,12,13,13
68,19,13,13,13
64,19,13,13,12
60,19,13,12,11
60,19,12,11,11
52,20,11,11,10
46,22,11,10,10
44,23,10,10,10
39,26,10,10,11
32,28,10,11,10
29,30,11,10,10
24,31,10,10,8
22,31,10,8,7
22,31,8,7,7
25,30,7,7,8
34,27,7,8,10
41,25,8,10,11
53,22,10,11,12
56,21,11,12,12
64,19,12,12,12
60,20,12,12,12
64,19,12,12,12
60,19,12,12,11
68,17,12,11,11
68,17,11,11,11
72,17,11,11,12
72,17,11,12,12
68,17,12,12,11
72,16,12,11,11
63,17,11,11,10
64,19,11,10,12
53,22,10,12,12
60,22,12,12,14
44,26,12,14,13
30,28,14,13,9
35,28,13,9,11
33,29,9,11,11
33,29,11,11,11
39,27,11,11,12
42,26,11,12,12
60,22,12,12,14
57,22,12,14,13
60,21,14,13,13
56,21,13,13,12
64,20,13,12,13
60,20,12,13,12
64,19,13,12,12
68,19,12,12,13
64,19,12,13,12
77,17,13,12,13
77,17,12,13,13
68,18,13,13,12
77,15,13,12,11
68,17,12,11,11
60,20,11,11,12
42,26,11,12,12
37,28,12,12,12
32,28,12,12,10
27,29,12,10,8
29,29,10,8,9
25,29,8,9,7
34,27,9,7,10
39,25,7,10,10
44,23,10,10,10
46,21,10,10,9
46,21,10,9,9
59,18,9,9,10
64,18,9,10,11
68,17,10,11,11
38,24,11,11,9
34,26,11,9,9
27,29,9,9,8
23,30,9,8,7
25,30,8,7,8
30,28,7,8,9
25,29,8,9,7
27,29,9,7,8
22,29,7,8,5
26,28,8,5,7
32,25,5,7,7
36,24,7,7,8
52,20,7,8,10
56,19,8,10,10
56,19,10,10,10
56,19,10,10,10
59,18,10,10,10
68,17,10,10,11
72,16,10,11,11
72,16,11,11,11
77,15,11,11,11
77,15,11,11,11
68,17,11,11,11
59,18,11,11,10
64,19,11,10,12
53,23,10,12,13
47,25,12,13,13
37,27,13,13,11
33,29,13,11,11
27,29,11,11,8
25,30,11,8,8
23,30,8,8,7
25,29,8,7,7
36,25,7,7,9
38,24,7,9,9
46,22,9,9,10
49,20,9,10,9
52,19,10,9,9
52,19,9,9,9
49,19,9,9,8
52,18,9,8,8
59,17,8,8,9
59,17,8,9,9
59,16,9,9,8
63,15,9,8,8
59,15,8,8,7
59,16,8,7,8
49,18,7,8,7
46,21,8,7,9
38,24,7,9,9
32,27,9,9,9
23,28,9,9,5
23,29,9,5,6
23,29,5,6,6
25,28,6,6,6
26,27,6,6,6
41,23,6,6,9
46,21,6,9,9
49,21,9,9,10
49,20,9,10,9
